iter	Passed	Remaining
929	2404	181
930	2406	178
931	2408	175
932	2409	173
933	2411	170
934	2413	167
935	2415	165
936	2416	162
937	2418	159
938	2420	157
939	2421	154
940	2423	151
941	2424	149
942	2426	146
943	2428	144
944	2430	141
945	2432	138
946	2434	136
947	2436	133
948	2438	131
949	2439	128
950	2442	125
951	2446	123
952	2447	120
953	2451	118
954	2453	115
955	2456	113
956	2459	110
957	2461	107
958	2462	105
959	2464	102
960	2465	100
961	2467	97
962	2469	94
963	2471	92
964	2474	89
965	2476	87
966	2478	84
967	2480	82
968	2481	79
969	2483	76
970	2486	74
971	2488	71
972	2490	69
973	2493	66
974	2495	63
975	2496	61
976	2498	58
977	2501	56
978	2502	53
979	2504	51
980	2505	48
981	2507	45
982	2508	43
983	2510	40
984	2512	38
985	2514	35
986	2515	33
987	2517	30
988	2519	28
989	2521	25
990	2523	22
991	2524	20
992	2527	17
993	2529	15
994	2531	12
995	2532	10
996	2534	7
997	2536	5
998	2538	2
999	2540	0
